text,label,category
Send Rs 1 via UPI to merchant@upi and get Rs 500 credited back instantly.,scam,phishing/fraud
Scan this QR code to receive Rs 10 cashback instantly.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Could you please share the design files for review?,safe,normal
Your invoice #3992 of Rs 50 has been processed.,safe,normal
Your OTP for net banking login is 9622. Valid for 5 minutes.,safe,normal
Can you send me the notes from yesterday's lecture?,safe,normal
Can you send me the notes from yesterday's lecture?,safe,normal
Your WhatsApp is expiring. Update now: http://short.link/m41qes,scam,phishing/fraud
Hey! Are we still on for dinner at 9:30 PM?,safe,normal
Your internet bill of Rs. 2 is due on the 15th.,safe,normal
Your OTP for net banking login is 5988. Valid for 5 minutes.,safe,normal
Your mobile number won Rs 25 in Jio lottery. Contact +910650191792 now.,scam,phishing/fraud
Special government scheme! Get Rs 50 deposited directly. Apply: http://bit.ly/u9da1l,scam,phishing/fraud
Dear customer your SBI account is blocked. Re-activate using http://tinyurl.com/ao72kz,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://short.link/j66cno or account will be suspended in 24hrs.,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Selected for internship at Google. Pay 1000 registration fee to proceed.,scam,phishing/fraud
Your mobile number won Rs 5000 in Jio lottery. Contact +919191954198 now.,scam,phishing/fraud
Don't forget mom's birthday is next week.,safe,normal
Offer Letter! Join our firm as Data Entry Operator. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Verify your WhatsApp account or it will be deleted: http://short.link/xgcy3q,scam,phishing/fraud
Good morning! Hope you have a productive day.,safe,normal
Job Offer: You are selected for Customer Support. Salary 10000 LPA. Pay Rs. 2000 processing fee to user@ybl.,scam,phishing/fraud
Scan this QR code to receive Rs 2 cashback instantly.,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://bit.ly/7hy7ai or account will be suspended in 24hrs.,scam,phishing/fraud
Work from home opportunity. Earn Rs 5K daily. Registration at http://bit.ly/29u6wt,scam,phishing/fraud
Transaction alert: Rs 5 debited. Not you? Click http://short.link/gmih6m to block card.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://bit.ly/gu3oby,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Could you please share the design files for review?,safe,normal
Don't forget mom's birthday is next week.,safe,normal
Your internet bill of Rs. 1 is due on the 15th.,safe,normal
Your Uber ride receipt: Rs 10. Trip from MG Road to Indiranagar.,safe,normal
I'll be 10 minutes late. Start without me.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://bit.ly/0861ta,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Exciting news! You qualify for a special discount. Click to redeem: http://bit.ly/2kktbk,scam,phishing/fraud
Send Rs 1 via UPI to raj@axisbank and get Rs 100 credited back instantly.,scam,phishing/fraud
Send Rs 1 via UPI to seller@paytm and get Rs 10 credited back instantly.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Someone shared a photo of you! Check it out: http://tinyurl.com/b1ppqv,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
URGENT: Your account ending 3416 is frozen. Click http://bit.ly/5kcihd to verify immediately.,scam,phishing/fraud
Your invoice #7671 of Rs 50 has been processed.,safe,normal
Hiring Customer Support. No interview needed. Deposit Rs 1500 security fee via raj@axisbank.,scam,phishing/fraud
I've pushed the code changes to the feature branch.,safe,normal
Just checking in. How are you doing?,safe,normal
Pay Rs. 5000 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://tinyurl.com/ii4fqc,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Scan this QR code to receive Rs 2000 cashback instantly.,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
Special government scheme! Get Rs 2 deposited directly. Apply: http://tinyurl.com/09hzbg,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Hiring Customer Support. No interview needed. Deposit Rs 1500 security fee via raj@axisbank.,scam,phishing/fraud
Invest Rs 10 today and get 3x returns guaranteed in 7 days. http://short.link/tozhdv,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 50. http://tinyurl.com/l7w05y,scam,phishing/fraud
Your bank OTP is 4004. If not initiated by you call 1631873280 immediately.,scam,phishing/fraud
Your mobile number won Rs 500 in Jio lottery. Contact +915756766708 now.,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://bit.ly/2hxn4d,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 25. http://tinyurl.com/d8u8no,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Free health check-up camp this Sunday. Register at http://tinyurl.com/swzuah. Limited slots.,scam,phishing/fraud
Meeting is scheduled for 2:15 PM. See you there.,safe,normal
Your bank OTP is 1324. If not initiated by you call 7727853242 immediately.,scam,phishing/fraud
Your Uber ride receipt: Rs 1. Trip from MG Road to Indiranagar.,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
HDFC Bank: Complete your pending KYC at http://short.link/4bwvf8 or account will be suspended in 24hrs.,scam,phishing/fraud
The food was amazing. Thanks for the recommendation!,safe,normal
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Meeting is scheduled for 4:00 AM. See you there.,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
I'll be 10 minutes late. Start without me.,safe,normal
Your friend referred you. You can earn Rs 1000 daily. Just register here.,scam,phishing/fraud
"Dear winner, your lottery ticket 5909 won first prize. Contact us immediately.",scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Congratulations! You won Rs. 50000 Lakhs! Claim the prize at http://short.link/a45hvg,scam,phishing/fraud
Your bank OTP is 1889. If not initiated by you call 1809190158 immediately.,scam,phishing/fraud
Special government scheme! Get Rs 25 deposited directly. Apply: http://tinyurl.com/gk0eey,scam,phishing/fraud
Your OTP for net banking login is 3768. Valid for 5 minutes.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Hiring Digital Marketing Manager. No interview needed. Deposit Rs 1500 security fee via priya@oksbi.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Security alert: New device logged into your Netflix account.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Free health check-up camp this Sunday. Register at http://bit.ly/e57b6w. Limited slots.,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Special government scheme! Get Rs 500 deposited directly. Apply: http://tinyurl.com/0mb1l6,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://tinyurl.com/fqjg02 or account will be suspended in 24hrs.,scam,phishing/fraud
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
Hey I found a great deal on phones. Check this link: http://tinyurl.com/hvoxj0,scam,phishing/fraud
Hey! Are we still on for dinner at 3:45 AM?,safe,normal
Update your profile to unlock premium features on LinkedIn.,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Your order has been placed successfully. Track: http://bit.ly/cqaktj,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Offer Letter! Join our firm as Customer Support. Mandatory training kit fee Rs. 5000 via merchant@upi.,scam,phishing/fraud
Your mobile number won Rs 2 in Jio lottery. Contact +915189520284 now.,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
Your mobile number won Rs 1000 in Jio lottery. Contact +917359848840 now.,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
Invest Rs 25 today and get 3x returns guaranteed in 7 days. http://short.link/efjqig,scam,phishing/fraud
Selected for internship at Google. Pay 2 registration fee to proceed.,scam,phishing/fraud
Free Reliance Jio recharge! Get 1 year free data. Claim: http://short.link/e97n6y,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://bit.ly/0kh584,scam,phishing/fraud
Dear customer your SBI account is blocked. Re-activate using http://tinyurl.com/c54wsq,scam,phishing/fraud
Scan this QR code to receive Rs 1000 cashback instantly.,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 10000. http://short.link/36s2z4,scam,phishing/fraud
Your OTP for net banking login is 1598. Valid for 5 minutes.,safe,normal
Your mobile number won Rs 1000 in Jio lottery. Contact +917938970155 now.,scam,phishing/fraud
Loved the movie! We should watch the sequel together.,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://bit.ly/61m3j1,scam,phishing/fraud
Please find the attached project report for the Software Developer position.,safe,normal
I'll be 10 minutes late. Start without me.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://short.link/mra5rb,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Invest Rs 25 today and get 3x returns guaranteed in 7 days. http://short.link/93feze,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://tinyurl.com/u91c32,scam,phishing/fraud
The food was amazing. Thanks for the recommendation!,safe,normal
Hey! Are we still on for dinner at 10:00 AM?,safe,normal
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Your OTP for net banking login is 9969. Valid for 5 minutes.,safe,normal
Your bank OTP is 6542. If not initiated by you call 8455048926 immediately.,scam,phishing/fraud
Selected for internship at Google. Pay 500 registration fee to proceed.,scam,phishing/fraud
Please find the attached project report for the Software Developer position.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Job Offer: You are selected for Data Entry Operator. Salary 5 LPA. Pay Rs. 2000 processing fee to user@ybl.,scam,phishing/fraud
"Dear winner, your lottery ticket 4560 won first prize. Contact us immediately.",scam,phishing/fraud
Pay Rs. 100 processing fee to user@ybl to claim your cashback reward.,scam,phishing/fraud
Great presentation today! The client seemed impressed.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Scan this QR code to receive Rs 50 cashback instantly.,scam,phishing/fraud
Your mobile number won Rs 5000 in Jio lottery. Contact +916227236266 now.,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Special government scheme! Get Rs 25 deposited directly. Apply: http://bit.ly/mg25cf,scam,phishing/fraud
Free health check-up camp this Sunday. Register at http://short.link/rv5nd6. Limited slots.,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 25. http://bit.ly/hsjr0f,scam,phishing/fraud
Your bank OTP is 5447. If not initiated by you call 3372094841 immediately.,scam,phishing/fraud
"Dear winner, your lottery ticket 6907 won first prize. Contact us immediately.",scam,phishing/fraud
Congratulations! You won Rs. 25 Lakhs! Claim the prize at http://tinyurl.com/9211u6,scam,phishing/fraud
Hiring Digital Marketing Manager. No interview needed. Deposit Rs 1500 security fee via seller@paytm.,scam,phishing/fraud
The quarterly review meeting is moved to 5:15 AM.,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Please find the attached project report for the Data Entry Operator position.,safe,normal
URGENT: Your account ending 9875 is frozen. Click http://short.link/7dvo34 to verify immediately.,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Free Reliance Jio recharge! Get 1 year free data. Claim: http://short.link/l1c32o,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Pay Rs. 2 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
Offer Letter! Join our firm as Software Developer. Mandatory training kit fee Rs. 5000 via seller@paytm.,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://short.link/mkfazz,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Your invoice #7083 of Rs 10000 has been processed.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://tinyurl.com/8e8ld4,scam,phishing/fraud
Transaction alert: Rs 50 debited. Not you? Click http://tinyurl.com/a8mlik to block card.,scam,phishing/fraud
Send Rs 1 via UPI to user@ybl and get Rs 5000 credited back instantly.,scam,phishing/fraud
Hiring Data Entry Operator. No interview needed. Deposit Rs 1500 security fee via raj@axisbank.,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/s8anp8,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Your Uber ride receipt: Rs 5000. Trip from MG Road to Indiranagar.,safe,normal
Reminder: Doctor's appointment tomorrow at 10:45 PM.,safe,normal
Someone shared a photo of you! Check it out: http://bit.ly/p6pnu0,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Congratulations on the promotion! Well deserved!,safe,normal
Hiring Digital Marketing Manager. No interview needed. Deposit Rs 1500 security fee via merchant@upi.,scam,phishing/fraud
URGENT: Your account ending 5657 is frozen. Click http://short.link/9en7dl to verify immediately.,scam,phishing/fraud
Alert: Someone logged into your email from Russia. Secure your account: http://tinyurl.com/cfa95d,scam,phishing/fraud
Special government scheme! Get Rs 10 deposited directly. Apply: http://tinyurl.com/85gg0v,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Selected for internship at Google. Pay 5 registration fee to proceed.,scam,phishing/fraud
Scan this QR code to receive Rs 2 cashback instantly.,scam,phishing/fraud
Thanks for the update. I will review it shortly.,safe,normal
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 5000. http://short.link/8wwiif,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Can you pick up groceries on the way home?,safe,normal
I won a small prize in the office raffle today!,safe,normal
Can you send me the notes from yesterday's lecture?,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 1. http://tinyurl.com/ekkbp2,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Your WhatsApp is expiring. Update now: http://short.link/x6rzcm,scam,phishing/fraud
Congratulations on the promotion! Well deserved!,safe,normal
Transaction alert: Rs 5 debited. Not you? Click http://short.link/e2ab2r to block card.,scam,phishing/fraud
Great presentation today! The client seemed impressed.,safe,normal
Urgent: The meeting is moved to 3 PM. Please update your calendar.,safe,normal
Special government scheme! Get Rs 25 deposited directly. Apply: http://bit.ly/liuqdn,scam,phishing/fraud
Exciting news! You qualify for a special discount. Click to redeem: http://bit.ly/r9kpu8,scam,phishing/fraud
Just checking in. How are you doing?,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://tinyurl.com/b8c7x0,scam,phishing/fraud
Your order has been placed successfully. Track: http://bit.ly/5eeazv,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Congratulations on the promotion! Well deserved!,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
Click here to join the Zoom meeting: https://zoom.us/j/6418,safe,normal
Your Uber ride receipt: Rs 1. Trip from MG Road to Indiranagar.,safe,normal
Your mobile number won Rs 10000 in Jio lottery. Contact +911657905528 now.,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
HDFC Bank: Complete your pending KYC at http://bit.ly/l8xkgy or account will be suspended in 24hrs.,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://bit.ly/x1945n or account will be suspended in 24hrs.,scam,phishing/fraud
"Dear winner, your lottery ticket 9005 won first prize. Contact us immediately.",scam,phishing/fraud
Transaction alert: Rs 1000 debited. Not you? Click http://bit.ly/s75elt to block card.,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Your internet bill of Rs. 10000 is due on the 15th.,safe,normal
Update your profile to unlock premium features on LinkedIn.,safe,normal
Free Reliance Jio recharge! Get 1 year free data. Claim: http://short.link/rwvbhz,scam,phishing/fraud
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Offer Letter! Join our firm as Customer Support. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Electricity bill for this month: Rs 500. Due date: 20th.,safe,normal
Reminder: Doctor's appointment tomorrow at 5:15 PM.,safe,normal
Don't forget mom's birthday is next week.,safe,normal
The quarterly review meeting is moved to 7:00 AM.,safe,normal
Your internet bill of Rs. 10000 is due on the 15th.,safe,normal
Job Offer: You are selected for Data Entry Operator. Salary 10000 LPA. Pay Rs. 2000 processing fee to raj@axisbank.,scam,phishing/fraud
Congratulations! You won Rs. 5 Lakhs! Claim the prize at http://tinyurl.com/yuhz1g,scam,phishing/fraud
"Dear winner, your lottery ticket 9863 won first prize. Contact us immediately.",scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/zbxpq5,scam,phishing/fraud
Congratulations! You won Rs. 500 Lakhs! Claim the prize at http://bit.ly/9n6xcj,scam,phishing/fraud
Work from home opportunity. Earn Rs 100K daily. Registration at http://tinyurl.com/ddtv25,scam,phishing/fraud
Special government scheme! Get Rs 5 deposited directly. Apply: http://bit.ly/52wqqp,scam,phishing/fraud
Congratulations! You won Rs. 500 Lakhs! Claim the prize at http://short.link/bh811k,scam,phishing/fraud
Let's catch up this weekend. Are you free?,safe,normal
Your WhatsApp is expiring. Update now: http://tinyurl.com/0j36tc,scam,phishing/fraud
Scan this QR code to receive Rs 5 cashback instantly.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Just checking in. How are you doing?,safe,normal
Work from home opportunity. Earn Rs 1000K daily. Registration at http://short.link/enlk8a,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Your leave request for next week has been approved.,safe,normal
Pay Rs. 2000 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
Free health check-up camp this Sunday. Register at http://tinyurl.com/2cmxle. Limited slots.,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://tinyurl.com/e1e163,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
Could you please share the design files for review?,safe,normal
URGENT: Your account ending 3554 is frozen. Click http://short.link/vwuo11 to verify immediately.,scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
URGENT: Your account ending 7896 is frozen. Click http://bit.ly/1wkise to verify immediately.,scam,phishing/fraud
I've pushed the code changes to the feature branch.,safe,normal
Your order has been placed successfully. Track: http://tinyurl.com/52zvbc,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Reminder: Doctor's appointment tomorrow at 8:45 AM.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://short.link/ppsfnk,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 1. http://short.link/cpztc6,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://short.link/zwymx9,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/bxvh7k,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 100. http://bit.ly/z99106,scam,phishing/fraud
Your bank OTP is 9409. If not initiated by you call 9051502675 immediately.,scam,phishing/fraud
Claim your employee referral bonus of Rs 2000 from HR.,safe,normal
The quarterly review meeting is moved to 4:15 PM.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/gl2zxj,scam,phishing/fraud
Selected for internship at Google. Pay 500 registration fee to proceed.,scam,phishing/fraud
Hey! Are we still on for dinner at 1:15 AM?,safe,normal
Your leave request for next week has been approved.,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 1. http://short.link/j00hod,scam,phishing/fraud
Electricity bill for this month: Rs 2000. Due date: 20th.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://short.link/bkldsf,scam,phishing/fraud
Pay Rs. 1 processing fee to seller@paytm to claim your cashback reward.,scam,phishing/fraud
Don't forget mom's birthday is next week.,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
The quarterly review meeting is moved to 4:00 PM.,safe,normal
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
HDFC Bank: Complete your pending KYC at http://short.link/5ccasb or account will be suspended in 24hrs.,scam,phishing/fraud
Special government scheme! Get Rs 2000 deposited directly. Apply: http://bit.ly/62c9t1,scam,phishing/fraud
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://bit.ly/nqt3wv,scam,phishing/fraud
Electricity bill for this month: Rs 2. Due date: 20th.,safe,normal
Transaction alert: Rs 50 debited. Not you? Click http://bit.ly/1kicjn to block card.,scam,phishing/fraud
URGENT: Your account ending 4467 is frozen. Click http://short.link/kvjz09 to verify immediately.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Selected for internship at Google. Pay 5000 registration fee to proceed.,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 6148.,scam,phishing/fraud
"Dear winner, your lottery ticket 9098 won first prize. Contact us immediately.",scam,phishing/fraud
Scan this QR code to receive Rs 2000 cashback instantly.,scam,phishing/fraud
Special government scheme! Get Rs 2 deposited directly. Apply: http://tinyurl.com/hm63q6,scam,phishing/fraud
Your Uber ride receipt: Rs 500. Trip from MG Road to Indiranagar.,safe,normal
Verify your WhatsApp account or it will be deleted: http://bit.ly/seknkb,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 7179.,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Your invoice #6352 of Rs 100 has been processed.,safe,normal
Congratulations! You won Rs. 50000 Lakhs! Claim the prize at http://tinyurl.com/y4x41d,scam,phishing/fraud
Your mobile number won Rs 10000 in Jio lottery. Contact +917782659608 now.,scam,phishing/fraud
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Can you send me the notes from yesterday's lecture?,safe,normal
Can you send Rs 5 to seller@paytm? I'll pay you back with interest tomorrow.,scam,phishing/fraud
"Dear winner, your lottery ticket 5882 won first prize. Contact us immediately.",scam,phishing/fraud
Reminder: Update your payment method to continue your subscription. http://tinyurl.com/tqj8cw,scam,phishing/fraud
Your internet bill of Rs. 50000 is due on the 15th.,safe,normal
Invest Rs 50000 today and get 3x returns guaranteed in 7 days. http://tinyurl.com/9zr3rz,scam,phishing/fraud
Special government scheme! Get Rs 100 deposited directly. Apply: http://bit.ly/5kw3hg,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Your bank OTP is 4857. If not initiated by you call 6561248156 immediately.,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 9898.,scam,phishing/fraud
Your invoice #4155 of Rs 1 has been processed.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Your bank OTP is 1133. If not initiated by you call 0369656666 immediately.,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Your leave request for next week has been approved.,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://tinyurl.com/s0fb4y,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://bit.ly/hdbvzb,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Congratulations! You won Rs. 5000 Lakhs! Claim the prize at http://tinyurl.com/3cfl0u,scam,phishing/fraud
Your order has been placed successfully. Track: http://short.link/zpbbwg,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 2225.,scam,phishing/fraud
Invest Rs 10 today and get 3x returns guaranteed in 7 days. http://tinyurl.com/0rsogg,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Can you pick up groceries on the way home?,safe,normal
Meeting is scheduled for 7:30 AM. See you there.,safe,normal
Can you pick up groceries on the way home?,safe,normal
Free Reliance Jio recharge! Get 1 year free data. Claim: http://tinyurl.com/i3oqyf,scam,phishing/fraud
Alert: Someone logged into your email from Russia. Secure your account: http://short.link/r8kk79,scam,phishing/fraud
Quick survey: answer 3 questions to win a gift card worth Rs 5000. http://tinyurl.com/oedr9r,scam,phishing/fraud
Offer Letter! Join our firm as Software Developer. Mandatory training kit fee Rs. 5000 via raj@axisbank.,scam,phishing/fraud
Pay Rs. 10 processing fee to user@ybl to claim your cashback reward.,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Reminder: Doctor's appointment tomorrow at 5:45 PM.,safe,normal
Hey I found a great deal on phones. Check this link: http://short.link/4xnuby,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Free Reliance Jio recharge! Get 1 year free data. Claim: http://bit.ly/h9ptfn,scam,phishing/fraud
Don't forget mom's birthday is next week.,safe,normal
Could you please share the design files for review?,safe,normal
Electricity bill for this month: Rs 5000. Due date: 20th.,safe,normal
I'll be 10 minutes late. Start without me.,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://bit.ly/f0a5zd,scam,phishing/fraud
Free health check-up camp this Sunday. Register at http://short.link/5c5jo5. Limited slots.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Happy birthday! Have a great day ahead.,safe,normal
Job Offer: You are selected for Business Analyst. Salary 10000 LPA. Pay Rs. 2000 processing fee to raj@axisbank.,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Good morning! Hope you have a productive day.,safe,normal
Just checking in. How are you doing?,safe,normal
Good morning! Hope you have a productive day.,safe,normal
HDFC Bank: Complete your pending KYC at http://bit.ly/fk2st0 or account will be suspended in 24hrs.,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://tinyurl.com/namlqu,scam,phishing/fraud
The quarterly review meeting is moved to 10:15 PM.,safe,normal
HDFC Bank: Complete your pending KYC at http://bit.ly/awe429 or account will be suspended in 24hrs.,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://short.link/fb3hn1,scam,phishing/fraud
Your bank OTP is 9914. If not initiated by you call 1158693806 immediately.,scam,phishing/fraud
Your OTP for net banking login is 2448. Valid for 5 minutes.,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://bit.ly/4lit6x,scam,phishing/fraud
Special government scheme! Get Rs 25 deposited directly. Apply: http://bit.ly/32utvg,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Your WhatsApp is expiring. Update now: http://short.link/gft4mp,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 500. http://bit.ly/igqpki,scam,phishing/fraud
Your mobile number won Rs 100 in Jio lottery. Contact +911716445561 now.,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
